title,rating,stars
家有儿女,8.8分,"宋丹丹,高亚麟,张一山,杨紫"
大宋提刑官,9.2分,"何冰,罗海琼,谢兰,王海燕,郭达,沈傲君,范伟,苗圃,杜志国,何政军,午马,严顺开,郭冬临,牛犇,凌峰,洪剑涛,雷恪生,艾丽娅,赵亮,岳丽娜,周舟"
士兵突击,9.3分,"陈思诚,王宝强,张译,李晨,段奕宏,邢佳栋,范雷,罗京民,王大治,高峰,张国强,李博,刘天佐,李泓良,李京,陈文波,李胜荣,曹克难,"
陈情令,7.9分,"肖战,王一博,孟子义"
后宫·甄嬛传,9.1分,"孙俪,陈建斌,蔡少芬,李东学"
亮剑,9.3分,"李幼斌,何政军,张光北,童蕾,孙俪,战卫华,陆彭,张桐,由力,王全有,张笑君,梁林琳,杨联春,车晓彤,陈艺戈,江水,宗利群,张伟,陈旺林,袁满,张国荣,董祁明,王炎冰,蔡小龙,徐雷智,田勇,郭苏星,田春山,荣钦,柴孛志,赵中华,李江,张建祥,孟耿成,陈增祺,寒丰,袁乃旗,韩建平,常玉平,那志东"
人民的名义,8.3分,"陆毅,柯蓝,张丰毅,吴刚"
武林外传,9.5分,"闫妮,姚晨,沙溢,喻恩泰,姜超,倪虹洁,王莎莎,范明,肖剑,于娟,张歆艺,张青,吴明鸿,张少华,霍曼迪,黄小蕾,徐贤海,梁振亚,刘亚津,郑美林,王磊,俞白眉,王庆,刘向东,全权,刘旭,张跃,甄麦娟,刘敏,蒋卉,唐静,娄茗,沈怀玲,杨树泉,曾惠,王彦波,王修浩,裴庆臣,胡宁芳,洪剑涛,田玲,宁财神,程娇娥,王超,许可,唐浚,王向明,陈铮,吴京安,安佰平,李业勇,柳长海,邓峰,齐俊生,帅华生,郭振营,马爱国,马怀平,毛孩,周炜,林永健,朱龙广,张滨,赵金鼎,王红波,刘惠,商子见,张茜,李明辉,许翔宇,李景琛,"
琅琊榜,9.3分,"胡歌,刘涛,王凯,陈龙,黄维德,靳东,高鑫,张棪琰,张龄心,王鸥,周奇奇,吴磊,张晓谦,郑毓芝,丁勇岱,王劲松,刘奕君,刘敏涛,程枫,郭晓然,匡牧野,陈丽娜,宁文彤,杨雨婷,谭希和,方晓莉,张哲瀚,钟卫华,张雨剑,乔欣,王永泉,魏伟,王宏,赵一龙,卢杉,刘冠霖"
天道,9.1分,"王志文,左小青,曾红生,石爻,郑强,王全有,施大生,李洪权,杨俊勇,方晓莉,赵会南"
风雨送春归,6.0分,"王志文,于震,俞飞鸿,王力可,鲁诺,陈龙,郭冬冬,王若雪,赵樱子,何音,张秋歌,巫刚,石兆琪,冯恩鹤,马书良,张冰,鲁思远,马晓峰,维妮,沈磊,金为珩,李倩倩,刘忠虎,贺刚"
那年时光安好,6.0分,"彦希,倪言,任运杰,张馨月,张哲华,谭柏丞"
情满九道弯,7.3分,"韩东君,热依扎,陈瑶,萨日娜,种丹妮,毕彦君,罗京民,鲍晓"
他与她,8.0分,于洋 韩佳卉 杨迪
43栋的女人们,8.0分,内详
下一站你的世界,6.0分,"常斌,赵尧珂,李若天,朱近桐"
青山绿水那朵云,7.0分,张颖冰 周澔诺 李恺洋
隐形战队粤语,9.0分,"陈展鹏,唐诗咏,马国明,陈山聪,江美仪,刘颖镟,刘佩玥,张颕康,陈自瑶,欧瑞伟,邓永健,朱斐斐,胡诺言,郭子豪,伍乐怡,郑启泰,彭怀安,庄思明,董敬文,许家杰,吴家乐,杨证桦,容天佑,赵希洛,阮浩棕,李嘉晋,李尔晨,陈国峰,潘冠霖,利颖怡,古天祥,袁镇业,冯素波,邵卓尧"
如何在无脑霸总漫里艰难求生,6.0分,韩雨彤 / 周彦哲 / 王皓轩 / 汪颖菲 / 武晔 / 谭琍敏
成曦曲,6.0分,"杨伊墨,黄靖洲"
荡寇,6.0分,"李茂,蓝盈莹,黎明明,曹骏,姜帆,林晓凡,张永刚,王岗岗"
你是人间理想,7.0分,"盛一伦,王莫涵,王彦鑫,庄森,象韵洁,杨诗倩,刘钊宏,可凡,唐书亚"
天外飞仙,7.9分,"胡歌,林依晨,李勤勤,赵亮,谢君豪,郭妃丽,窦智孔,吕一,唐宸禹,韩雪,陈秀丽,徐锦江,邬倩倩,岳跃利"
女士的品格,9.6分,"万茜,刘敏涛,邢菲,白客,高一仁,王勉,温峥嵘,师铭泽,海一天,蒲巴甲,徐立,刘金山,姚安濂"
与卿书,9.8分,"黄羿,王弘毅,柯颖,刘胤君,周子悦,张浩哲,潘毅鸿"
我的女友们,6.0分,"李胤维 ,何花,黄澄澄,罗辑,曹曦月,刘人语,杨祺如,范薇,金丰,王嘉莉,陈碧舸,马剑越"
夏花,8.3分,"言承旭,徐若晗,黄奕,马思超,于翔,唐曾,赵圆瑗"
民国女神探,7.0分,李曼0514 / 洋懿 / 李泽宇 / 雷琨 / 宋鸿宇
我才不会喜欢你,6.3分,"李启歌,王丽娜,苏宇航,黄悦然"
